srno|code|name|flag|Module_Name
430|BanqRep|OutStanding Report|1|Reports
431|BanqRep|Party wise OutStanding|1|Reports
432|BanqRep|Cashier  Report|1|Reports
433|BanqRep|Booking Inquiry Detail|1|Reports
434|BanqRep|Settlement  Report|1|Reports
435|BanqRep|Daily Function Sheet|1|Reports
436|BanqRep|Item Wise Sales Report|1|Reports
437|BanqRep|Company Wise Sale Report|1|Reports
438|BanqRep|Function Wise Item Detail|1|Reports
439|HallMIS|MIS|1|MIS
440|BanqRepMIS|Cover Analysis|1|MIS
441|BanqRepMIS|Collection Summary|1|MIS
442|HallTax|Tax Report|1|Tax Report
443|HallTaxP|Tax Report|1|Tax Report
